Zvalue	Max	Min	zRange	zRangePrev	IO
-28541	0	32767	0	25	7000
-28534	0	32767	0	25	7000
-28541	0	-29408	25	25	8000
-28540	0	-29408	25	25	8000
-28534	24712	-29408	25	25	8000
-28528	24712	-29408	25	25	8000
-28524	24712	-29408	25	25	8000
-28520	24712	-29408	25	25	8000
-28526	0	-29408	25	25	7000
-28530	0	-29408	25	25	7000
-28533	0	-29408	25	25	7000
-28533	0	-29408	25	25	7000
-28532	0	-29408	25	25	7000
-28530	0	-29408	25	25	7000
-28526	0	-32352	25	25	8000
-28520	0	-32352	25	25	8000
-28521	21776	-32352	25	25	8000
-28524	21776	-32352	25	25	8000
-28523	21776	-32352	25	25	8000
-28523	0	-32352	25	25	8000
-28525	0	-32352	25	25	8000
-28525	0	-32352	25	25	7000
-28525	0	-32352	25	25	7000
-28526	0	-32352	25	25	7000
-28525	0	-32352	25	25	7000
-28524	0	-29568	25	25	8000
-28523	0	-29568	25	25	8000
-28523	24560	-29568	25	25	8000
-28524	24560	-29568	25	25	8000
-28526	24560	-29568	25	25	8000
-28526	24560	-29568	25	25	8000
-28528	0	-29568	25	25	7000
-28527	0	-29568	25	25	7000
-28524	0	-29568	25	25	7000
-28520	0	-29568	25	25	7000
-28524	0	-29568	25	25	7000
-28527	0	-29568	25	25	7000
-28531	0	-32488	25	25	8000
-28527	0	-32488	25	25	8000
-28519	21632	-32488	25	25	8000
-28520	21632	15928	25	25	8000
-28530	21632	15928	25	25	8000
-28532	21632	15928	25	25	8000
-28527	21632	15928	25	25	8000
-28514	21632	15928	25	25	8000
-28517	21632	15928	25	25	8000
-28526	21632	15928	25	25	8000
-28540	21632	15928	25	25	8000
-28538	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28517	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28530	21632	15928	25	25	8000
-28530	21632	15928	25	25	8000
-28524	21632	15928	25	25	8000
-28523	21632	15928	25	25	8000
-28520	21632	15928	25	25	8000
-28518	21632	15928	25	25	8000
-28521	21632	15928	25	25	8000
-28526	21632	15928	25	25	8000
-28526	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28527	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28528	21632	15928	25	25	8000
-28523	21632	15928	25	25	8000
-28520	21632	15928	25	25	8000
-28524	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28525	21632	15928	25	25	8000
-28526	15952	15928	25	25	8000
-28524	15952	15928	25	25	8000
-28525	15952	15928	25	25	8000
-28525	15952	15928	25	25	8000
-28523	15952	15944	25	25	8000
-28527	15952	15944	25	25	8000
-28523	15952	15944	25	25	8000
-28527	15952	15944	25	25	8000
-28527	15952	15944	25	25	8000
-28526	15952	15944	25	25	8000
-28523	15952	15944	25	25	8000
-28523	15952	15944	25	25	8000
-28524	15952	15944	25	25	8000
-28527	15952	15944	25	25	8000
-28524	15952	15944	25	25	8000
-28528	15952	15944	25	25	8000
-28524	15952	15944	25	25	8000
-28519	15952	15944	25	25	8000
-28521	15952	15944	25	25	8000
-28526	15952	15944	25	25	8000
-28530	15952	15944	25	25	8000
-28526	15952	15944	25	25	8000
-28520	15952	15944	25	25	8000
-28512	15952	15944	25	25	8000
-28518	15952	15944	25	25	8000
-28520	15952	15944	25	25	8000
-28537	15952	15944	25	25	8000
-28537	15952	15944	25	25	8000
-28525	15952	15944	25	25	8000
-28515	15952	15944	25	25	8000
-28518	15952	15944	25	25	8000
-28524	15952	15944	25	25	8000
-28530	15952	15944	25	25	8000
-28527	15952	15944	25	25	8000
-28523	15952	15944	25	25	8000
-28520	15952	15944	25	25	8000
-28517	15952	15944	25	25	8000
-28519	15952	15944	25	25	8000
-28525	15952	15944	25	25	8000
-28526	15952	15944	25	25	8000
-28526	15952	15944	25	25	8000
-28524	15952	15944	25	25	8000
-28523	15952	15944	25	25	8000
-28526	15960	15944	25	25	8000
-28523	15960	15944	25	25	8000
-28525	15960	15952	25	25	8000
-28527	15960	15952	25	25	8000
-28525	15960	15952	25	25	8000
-28527	15960	15952	25	25	8000
-28526	15960	15952	25	25	8000
-28526	15960	15952	25	25	8000
-28525	15960	15952	25	25	8000
-28525	15960	15952	25	25	8000
-28527	15960	15952	25	25	8000
-28527	15960	15952	25	25	8000
-28527	15960	15952	25	25	8000
-28530	15960	15952	25	25	8000
-28528	15960	15952	25	25	8000
-28527	15960	15952	25	25	8000
-28524	15960	15952	25	25	8000
-28528	15960	15952	25	25	8000
-28530	15960	15952	25	25	8000
-28526	15960	15952	25	25	8000
-28525	15952	15952	0	25	7000
-28525	15952	15952	0	25	7000
-28526	15952	15952	0	25	7000
-28528	15952	15952	0	25	7000
-28524	15952	15944	25	25	7000
-28525	15952	15944	25	25	7000
-28518	15952	15944	25	25	7000
-28530	15952	15944	25	25	7000
-28539	15952	15944	25	25	7000
-28527	15952	15944	25	25	7000
-28523	15952	15944	25	25	7000
-28530	15952	15944	25	25	7000
-28537	15952	15944	25	25	7000
-28534	15952	15944	25	25	7000
-28527	15952	15944	25	25	7000
-28520	15952	15944	25	25	7000
-28523	15952	15944	25	25	7000
-28533	15952	15944	25	25	7000
-28525	15952	15944	25	25	7000
-28534	15952	15944	25	25	7000
-28537	15952	15944	25	25	7000
-28527	15952	15944	25	25	7000
-28518	15952	15944	25	25	7000
-28524	15952	15944	25	25	7000
-28535	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28530	15952	15944	25	25	7000
-28530	15952	15944	25	25	7000
-28534	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28531	15952	15944	25	25	7000
-28526	15952	15944	25	25	7000
-28527	15952	15944	25	25	7000
-28525	15952	15944	25	25	7000
-28528	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28525	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28526	15952	15944	25	25	7000
-28523	15952	15944	25	25	7000
-28524	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28537	15952	15944	25	25	7000
-28517	15952	15944	25	25	7000
-28537	15952	15944	25	25	7000
-28532	15952	15944	25	25	7000
-28526	15952	15944	25	25	7000
-28520	15952	15912	40	40	7000
-28517	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28532	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28521	15952	15912	40	40	7000
-28524	15952	15912	40	40	7000
-28525	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28528	15952	15912	40	40	8000
-28528	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28528	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28526	15952	15912	40	40	8000
-28523	15952	15912	40	40	8000
-28524	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28533	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28520	15952	15912	40	40	8000
-28523	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28531	15952	15912	40	40	8000
-28535	15952	15912	40	40	8000
-28531	15952	15912	40	40	8000
-28518	15952	15912	40	40	8000
-28518	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28532	15952	15912	40	40	8000
-28539	15952	15912	40	40	8000
-28535	15952	15912	40	40	7000
-28524	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28530	15952	15912	40	40	7000
-28531	15952	15912	40	40	7000
-28531	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28515	15952	15912	40	40	7000
-28520	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28531	15952	15912	40	40	7000
-28530	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28524	15952	15912	40	40	7000
-28530	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28531	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28533	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28531	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28539	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28514	15952	15912	40	40	7000
-28517	15952	15912	40	40	7000
-28521	15952	15912	40	40	7000
-28531	15952	15912	40	40	7000
-28538	15952	15912	40	40	7000
-28539	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28523	15952	15912	40	40	7000
-28520	15952	15912	40	40	7000
-28530	15952	15912	40	40	7000
-28532	15952	15912	40	40	7000
-28533	15952	15912	40	40	7000
-28524	15952	15912	40	40	7000
-28519	15952	15912	40	40	7000
-28513	15952	15912	40	40	7000
-28517	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28528	15952	15912	40	40	7000
-28527	15952	15912	40	40	7000
-28526	15952	15912	40	40	7000
-28525	15952	15912	40	40	7000
-28525	15952	15912	40	40	8000
-28524	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28528	15952	15912	40	40	8000
-28531	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28526	15952	15912	40	40	8000
-28526	15952	15912	40	40	8000
-28526	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28527	15952	15912	40	40	8000
-28533	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28524	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28530	15952	15912	40	40	8000
-28532	15952	15912	40	40	8000
-28532	15952	15912	40	40	8000
-28525	15952	15912	40	40	8000
-28521	15952	15912	40	40	8000
-28519	15952	15912	40	40	8000
-28531	15952	15912	40	40	8000
-28540	15944	15912	32	32	7000
-28527	15944	15912	32	32	7000
-28520	15944	15912	32	32	7000
-28530	15944	15912	32	32	7000
-28532	15944	15912	32	32	7000
-28524	15944	15912	32	32	7000
-28519	15944	15912	32	32	7000
-28518	15944	15912	32	32	7000
-28523	15944	15912	32	32	7000
-28532	15944	15912	32	32	7000
-28520	15944	15912	32	32	7000
-28525	15944	15912	32	32	7000
-28535	15944	15912	32	32	7000
-28530	15944	15912	32	32	7000
-28523	15944	15912	32	32	7000
-28523	15944	15912	32	32	7000
-28530	15944	15912	32	32	7000
-28528	15944	15912	32	32	7000
-28527	15944	15912	32	32	7000
-28527	15944	15912	32	32	7000
-28526	15944	15912	32	32	7000
-28525	15944	15912	32	32	8000
-28524	15944	15912	32	32	8000
-28525	15944	15912	32	32	8000
-28530	15944	15912	32	32	8000
-28524	15944	15912	32	32	8000
-28531	15944	15912	32	32	8000
-28527	15944	15912	32	32	8000
-28524	15944	15912	32	32	8000
-28526	15944	15912	32	32	8000
-28526	15944	15912	32	32	8000
-28520	15944	15912	32	32	8000
-28518	15944	15912	32	32	8000
-28524	15944	15912	32	32	8000
-28528	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28530	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28519	15944	15928	32	32	8000
-28519	15944	15928	32	32	8000
-28539	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28517	15944	15928	32	32	8000
-28530	15944	15928	32	32	8000
-28532	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28520	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28534	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28519	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28530	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28520	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28520	15944	15928	32	32	8000
-28519	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28532	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28531	15944	15928	32	32	8000
-28512	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28534	15944	15928	32	32	8000
-28531	15944	15928	32	32	8000
-28517	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28532	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28518	15944	15928	32	32	8000
-28515	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28530	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28531	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28525	15944	15928	32	32	7000
-28533	15944	15928	32	32	7000
-28514	15944	15928	32	32	7000
-28518	15944	15928	32	32	7000
-28532	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28521	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28531	15944	15928	32	32	7000
-28519	15944	15928	32	32	7000
-28519	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28528	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28520	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28520	15944	15928	32	32	7000
-28528	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28515	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28530	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28530	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28532	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28528	15944	15928	32	32	8000
-28517	15944	15928	32	32	8000
-28520	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28535	15944	15928	32	32	8000
-28520	15944	15928	32	32	8000
-28526	15944	15928	32	32	8000
-28524	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28525	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28523	15944	15928	32	32	8000
-28527	15944	15928	32	32	8000
-28521	15944	15928	32	32	8000
-28523	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28534	15944	15928	32	32	7000
-28514	15944	15928	32	32	7000
-28528	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28534	15944	15928	32	32	7000
-28518	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28521	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28521	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28514	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28519	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28519	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28521	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28530	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28531	15944	15928	32	32	7000
-28520	15944	15928	32	32	7000
-28538	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28531	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28520	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28524	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28525	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28528	15944	15928	32	32	7000
-28532	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28526	15944	15928	32	32	7000
-28531	15944	15928	32	32	7000
-28527	15944	15928	32	32	7000
-28532	15944	15928	32	32	7000
-28523	15944	15928	32	32	7000
-28534	15952	15928	32	32	7000
-28511	15952	15928	32	32	7000
-28537	15952	15928	32	32	7000
-28515	15952	15928	32	32	7000
-28535	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28525	15952	15928	32	32	7000
-28528	15952	15928	32	32	7000
-28523	15952	15928	32	32	7000
-28525	15952	15928	32	32	7000
-28527	15952	15928	32	32	7000
-28525	15952	15928	32	32	7000
-28530	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28532	15952	15928	32	32	7000
-28530	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28526	15952	15928	32	32	7000
-28531	15952	15928	32	32	7000
-28526	15952	15928	32	32	7000
-28530	15952	15928	32	32	7000
-28521	15952	15928	32	32	7000
-28534	15952	15928	32	32	7000
-28526	15952	15928	32	32	7000
-28537	15952	15928	32	32	7000
-28530	15952	15928	32	32	7000
-28527	15952	15928	32	32	7000
-28519	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28533	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28527	15952	15928	32	32	7000
-28525	15952	15928	32	32	7000
-28527	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28528	15952	15928	32	32	7000
-28527	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28528	15952	15928	32	32	7000
-28523	15952	15928	32	32	7000
-28530	15952	15928	32	32	7000
-28520	15952	15928	32	32	7000
-28514	15952	15928	32	32	7000
-28533	15952	15928	32	32	7000
-28518	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28532	15952	15928	32	32	7000
-28524	15952	15928	32	32	7000
-28518	15952	15928	32	32	7000
-28525	15952	15928	32	32	7000
-28523	15952	15928	32	32	7000
-28523	15952	15928	32	32	7000
-28525	15952	15928	32	32	7000
-28521	15952	15928	32	32	8000
-28525	15952	15928	32	32	8000
-28525	15952	15928	32	32	8000
-28527	15952	15928	32	32	8000
-28526	15952	15928	32	32	8000
-28525	15952	15928	32	32	8000
-28513	15952	15928	32	32	8000
-28520	15952	15928	32	32	8000
-28525	15952	15928	32	32	8000
-28532	15952	15928	32	32	8000
